Code	ISO number	ISO formal name	Directionality	Unicode Alias[f]	Version	Characters	Notes	Description
Adlm	166	Adlam	right-to-left script 	Adlam	9.0	88		Ch 19.9
Afak	439	Afaka	varies	— Not in Unicode, proposal is explored[i]
Aghb	239	Caucasian Albanian	left-to-right 	Caucasian Albanian	7.0	53	Ancient/historic	Ch 8.11
Ahom	338	Ahom, Tai Ahom	left-to-right 	Ahom	8.0	65	Ancient/historic	Ch 15.16
Arab	160	Arabic	right-to-left script 	Arabic	1.0	1,368		Ch 9.2
Aran	161	Arabic (Nastaliq variant)	mixed	— Typographic variant of Arabic (see § Arab)
Armi	124	Imperial Aramaic	right-to-left script 	Imperial Aramaic	5.2	31	Ancient/historic	Ch 10.4
Armn	230	Armenian	left-to-right 	Armenian	1.0	96		Ch 7.6
Avst	134	Avestan	right-to-left script 	Avestan	5.2	61	Ancient/historic	Ch 10.7
Bali	360	Balinese	left-to-right 	Balinese	5.0	124		Ch 17.3
Bamu	435	Bamum	left-to-right 	Bamum	5.2	657		Ch 19.6
Bass	259	Bassa Vah	left-to-right 	Bassa Vah	7.0	36	Ancient/historic	Ch 19.7
Batk	365	Batak	left-to-right 	Batak	6.0	56		Ch 17.6
Beng	325	Bengali (Bangla)	left-to-right 	Bengali	1.0	96		Ch 12.2
Bhks	334	Bhaiksuki	left-to-right 	Bhaiksuki	9.0	97	Ancient/historic	Ch 14.3
Blis	550	Blissymbols	varies	— Not in Unicode, proposal is explored[i]
Bopo	285	Bopomofo	left-to-right, right-to-left script 	Bopomofo	1.0	77		Ch 18.3
Brah	300	Brahmi	left-to-right 	Brahmi	6.0	115	Ancient/historic	Ch 14.1
Brai	570	Braille	left-to-right 	Braille	3.0	256		Ch 21.1
Bugi	367	Buginese	left-to-right 	Buginese	4.1	30		Ch 17.2
Buhd	372	Buhid	left-to-right 	Buhid	3.2	20		Ch 17.1
Cakm	349	Chakma	left-to-right 	Chakma	6.1	71		Ch 13.11
Cans	440	Unified Canadian Aboriginal Syllabics	left-to-right 	Canadian Aboriginal	3.0	726		Ch 20.2
Cari	201	Carian	left-to-right, right-to-left script 	Carian	5.1	49	Ancient/historic	Ch 8.5
Cham	358	Cham	left-to-right 	Cham	5.1	83		Ch 16.10
Cher	445	Cherokee	left-to-right 	Cherokee	3.0	172		Ch 20.1
Chrs	109	Chorasmian	right-to-left script, top-to-bottom 	Chorasmian	13.0	28	Ancient/historic	Ch 10.8
Cirt	291	Cirth	varies	— Not in Unicode
Copt	204	Coptic	left-to-right 	Coptic	1.0	137	Ancient/historic, disunified from Greek in 4.1	Ch 7.3
Cpmn	402	Cypro-Minoan	left-to-right	Cypro Minoan	14.0	99	Ancient/historic	Ch 8.4
Cprt	403	Cypriot syllabary	right-to-left script 	Cypriot	4.0	55	Ancient/historic	Ch 8.3
Cyrl	220	Cyrillic	left-to-right 	Cyrillic	1.0	506	Includes typographic variant Old Church Slavonic (see § Cyrs)	Ch 7.4
Cyrs	221	Cyrillic (Old Church Slavonic variant)	varies	— Typographic variant of Cyrillic (see § Cyrl); Ancient/historic
Deva	315	Devanagari (Nagari)	left-to-right 	Devanagari	1.0	164		Ch 12.1
Diak	342	Dives Akuru	left-to-right 	Dives Akuru	13.0	72	Ancient/historic	Ch 15.15
Dogr	328	Dogra	left-to-right 	Dogra	11.0	60	Ancient/historic	Ch 15.18
Dsrt	250	Deseret (Mormon)	left-to-right 	Deseret	3.1	80		Ch 20.4
Dupl	755	Duployan shorthand, Duployan stenography	left-to-right 	Duployan	7.0	143		Ch 21.6
Egyd	070	Egyptian demotic	mixed	— Not in Unicode
Egyh	060	Egyptian hieratic	mixed	— Not in Unicode
Egyp	050	Egyptian hieroglyphs	right-to-left script 	Egyptian Hieroglyphs	5.2	1,110	Ancient/historic	Ch 11.4
Elba	226	Elbasan	left-to-right 	Elbasan	7.0	40	Ancient/historic	Ch 8.10
Elym	128	Elymaic	right-to-left script 	Elymaic	12.0	23	Ancient/historic	Ch 10.9
Ethi	430	Ethiopic (Geʻez)	left-to-right 	Ethiopic	3.0	523		Ch 19.1
Geok	241	Khutsuri (Asomtavruli and Nuskhuri)	left-to-right 	Georgian			Unicode groups Khutsori, Asomtavruli and Nuskhuri into 'Georgian' (see § Geok). Similarly, Mkhedruli and Mtavruli are 'Georgian' (see § Geor)	Ch 7.7
Geor	240	Georgian (Mkhedruli and Mtavruli)	left-to-right 	Georgian	1.0	173	In Unicode this also includes Nuskhuri (Geok)	Ch 7.7
Glag	225	Glagolitic	left-to-right 	Glagolitic	4.1	134	Ancient/historic	Ch 7.5
Gong	312	Gunjala Gondi	left-to-right 	Gunjala Gondi	11.0	63		Ch 13.15
Gonm	313	Masaram Gondi	left-to-right 	Masaram Gondi	10.0	75		Ch 13.14
Goth	206	Gothic	left-to-right 	Gothic	3.1	27	Ancient/historic	Ch 8.9
Gran	343	Grantha	left-to-right 	Grantha	7.0	85	Ancient/historic	Ch 15.14
Grek	200	Greek	left-to-right 	Greek	1.0	518	Directionality sometimes as boustrophedon	Ch 7.2
Gujr	320	Gujarati	left-to-right 	Gujarati	1.0	91		Ch 12.4
Guru	310	Gurmukhi	left-to-right 	Gurmukhi	1.0	80		Ch 12.3
Hanb	503	Han with Bopomofo (alias for Han + Bopomofo)	mixed	— See § Hani, § Bopo
Hang	286	Hangul (Hangŭl, Hangeul)	left-to-right, vertical right-to-left 	Hangul	1.0	11,739	Hangul syllables relocated in 2.0	Ch 18.6
Hani	500	Han (Hanzi, Kanji, Hanja)	top-to-bottom, columns right-to-left (historically)	Han	1.0	98,408		Ch 18.1
Hano	371	Hanunoo (Hanunóo)	left-to-right, bottom-to-top 	Hanunoo	3.2	21		Ch 17.1
Hans	501	Han (Simplified variant)	varies	— Subset of Han (Hanzi, Kanji, Hanja) (see § Hani)
Hant	502	Han (Traditional variant)	varies	— Subset of § Hani
Hatr	127	Hatran	right-to-left script 	Hatran	8.0	26	Ancient/historic	Ch 10.12
Hebr	125	Hebrew	right-to-left script 	Hebrew	1.0	134		Ch 9.1
Hira	410	Hiragana	vertical right-to-left, left-to-right 	Hiragana	1.0	381		Ch 18.4
Hluw	080	Anatolian Hieroglyphs (Luwian Hieroglyphs, Hittite Hieroglyphs)	left-to-right 	Anatolian Hieroglyphs	8.0	583	Ancient/historic	Ch 11.6
Hmng	450	Pahawh Hmong	left-to-right 	Pahawh Hmong	7.0	127		Ch 16.11
Hmnp	451	Nyiakeng Puachue Hmong	left-to-right 	Nyiakeng Puachue Hmong	12.0	71		Ch 16.12
Hrkt	412	Japanese syllabaries (alias for Hiragana + Katakana)	vertical right-to-left, left-to-right 	Katakana or Hiragana			See § Hira, § Kana	Ch 18.4
Hung	176	Old Hungarian (Hungarian Runic)	right-to-left script 	Old Hungarian	8.0	108	Ancient/historic	Ch 8.8
Inds	610	Indus (Harappan)	mixed	— Not in Unicode, proposal is explored[i]
Ital	210	Old Italic (Etruscan, Oscan, etc.)	right-to-left script, left-to-right 	Old Italic	3.1	39	Ancient/historic	Ch 8.6
Jamo	284	Jamo (alias for Jamo subset of Hangul)	varies	— Subset of § Hang
Java	361	Javanese	left-to-right 	Javanese	5.2	90		Ch 17.4
Jpan	413	Japanese (alias for Han + Hiragana + Katakana)	varies	— See § Hani, § Hira and § Kana
Jurc	510	Jurchen	left-to-right	— Not in Unicode
Kali	357	Kayah Li	left-to-right 	Kayah Li	5.1	47		Ch 16.9
Kana	411	Katakana	vertical right-to-left, left-to-right 	Katakana	1.0	321		Ch 18.4
Kawi	368	Kawi	left-to-right 	Kawi	15.0	86	Ancient/historic	Ch 17.9
Khar	305	Kharoshthi	right-to-left script 	Kharoshthi	4.1	68	Ancient/historic	Ch 14.2
Khmr	355	Khmer	left-to-right 	Khmer	3.0	146		Ch 16.4
Khoj	322	Khojki	left-to-right 	Khojki	7.0	65	Ancient/historic	Ch 15.7
Kitl	505	Khitan large script	left-to-right	— Not in Unicode
